sex,education_level,religion_grouped,race_grouped,political_interest,employment_status,vote_intention,age_group
Female,Less than HS,Protestant,White,Pas intéressé,Unemployed,No,25–34 ans
Female,Less than HS,Protestant,White,Intéressé,Other,No,25–34 ans
Female,Less than HS,Catholic,White,Intéressé,Other,No,25–34 ans
Male,Less than HS,Protestant,White,Pas intéressé,Retired,Yes,55–64 ans
Female,Less than HS,Protestant,White,Pas intéressé,Other,No,65–74 ans
Female,Less than HS,Protestant,White,Pas intéressé,Other,No,45–54 ans
Female,Less than HS,Protestant,White,Intéressé,Other,No,65–74 ans
Male,Less than HS,Protestant,Black,Pas intéressé,Student,No,25–34 ans
Female,Less than HS,Protestant,White,Intéressé,Retired,Yes,25–34 ans
Female,Less than HS,Protestant,White,Pas intéressé,Other,No,35–44 ans
Female,Less than HS,Protestant,White,Pas intéressé,Other,No,25–34 ans
Female,High School,Protestant,White,Pas intéressé,Other,No,45–54 ans
Female,Less than HS,Protestant,White,Pas intéressé,Other,No,55–64 ans
Female,Less than HS,Protestant,White,Intéressé,Other,No,45–54 ans
Female,Less than HS,Protestant,White,Pas intéressé,Retired,Yes,55–64 ans
Female,Less than HS,Protestant,White,Intéressé,Unemployed,No,35–44 ans
Female,Less than HS,Catholic,White,Pas intéressé,Other,No,65–74 ans
Female,Less than HS,Protestant,White,Intéressé,Other,No,55–64 ans
Male,Less than HS,Catholic,White,Intéressé,Unemployed,Yes,25–34 ans
Female,Less than HS,Protestant,White,Intéressé,Other,No,25–34 ans
Female,Less than HS,Protestant,White,Pas intéressé,Other,No,55–64 ans
Female,Less than HS,Protestant,White,Pas intéressé,Other,No,18–24 ans
Female,Less than HS,Protestant,White,Pas intéressé,Other,No,65–74 ans
Male,Less than HS,Protestant,White,Intéressé,Unemployed,No,45–54 ans
Female,Less than HS,Protestant,White,Intéressé,Unemployed,No,35–44 ans
Female,Less than HS,Protestant,White,Intéressé,Other,No,25–34 ans
Female,Less than HS,Protestant,White,Intéressé,Other,No,45–54 ans
Male,Less than HS,Other,White,Intéressé,Homemaker,No,65–74 ans
Female,Less than HS,Protestant,White,Intéressé,Other,No,35–44 ans
Female,Less than HS,Protestant,Black,Intéressé,Other,Yes,35–44 ans
Female,Less than HS,Protestant,White,Intéressé,Other,No,35–44 ans
Male,Less than HS,Protestant,White,Intéressé,Retired,No,55–64 ans
Female,Less than HS,Protestant,White,Intéressé,Working,Yes,65–74 ans
Male,Less than HS,Protestant,White,Intéressé,Homemaker,No,55–64 ans
